domain,address,contract_name,status,reason,compiler_version,optimization_used,license,proxy,implementation,loc,complexity,source_file,etherscan_url
DeFi,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH9,saved,ok,v0.4.19+commit.c4cbbb05,0,,0,,605,Complex,dataset/defi/001_WETH9_0xC02aaA39.sol,https://etherscan.io/address/0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2#code
DeFi,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,UniswapV2Factory,saved,ok,v0.5.16+commit.9c3226ce,1,GNU GPLv3,0,,396,Medium,dataset/defi/002_UniswapV2Factory_0x5C69bEe7.sol,https://etherscan.io/address/0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f#code
DeFi,0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,CErc20Delegator,saved,ok,v0.5.12+commit.7709ece9,1,,1,0x3363bae2fc44da742df13cd3ee94b6bb868ea376,740,Complex,dataset/defi/003_CErc20Delegator_0x5d3a536E.sol,https://etherscan.io/address/0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643#code
DeFi,0x4Ddc2D193948926d02f9B1fE9e1daa0718270ED5,CEther,saved,ok,v0.5.8+commit.23d335f2,1,,0,,2023,Complex,dataset/defi/004_CEther_0x4Ddc2D19.sol,https://etherscan.io/address/0x4Ddc2D193948926d02f9B1fE9e1daa0718270ED5#code
DeFi,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,UniswapV2Pair,saved,ok,v0.5.16+commit.9c3226ce,1,GNU GPLv3,0,,368,Medium,dataset/defi/005_UniswapV2Pair_0xB4e16d01.sol,https://etherscan.io/address/0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc#code
DeFi,0xccF4429DB6322D5C611ee964527D42E5d685DD6a,CErc20Delegator,saved,ok,v0.5.17+commit.d19bba13,1,None,1,0x3363bae2fc44da742df13cd3ee94b6bb868ea376,794,Complex,dataset/defi/006_CErc20Delegator_0xccF4429D.sol,https://etherscan.io/address/0xccF4429DB6322D5C611ee964527D42E5d685DD6a#code
DeFi,0x35D1b3F3D7966A1DFe207aa4514C12a259A0492B,Vat,saved,ok,v0.5.12+commit.7709ece9,0,GNU GPLv3,0,,196,Medium,dataset/defi/007_Vat_0x35D1b3F3.sol,https://etherscan.io/address/0x35D1b3F3D7966A1DFe207aa4514C12a259A0492B#code
DeFi,0x818E6FECD516Ecc3849DAf6845e3EC868087B755,KyberNetworkProxy,saved,ok,v0.4.18+commit.9cf6e910,1,,0,,424,Medium,dataset/defi/008_KyberNetworkProxy_0x818E6FEC.sol,https://etherscan.io/address/0x818E6FECD516Ecc3849DAf6845e3EC868087B755#code
DeFi,0x3d9819210A31b4961b30EF54bE2aeD79B9C9Cd3B,Unitroller,saved,ok,v0.5.8+commit.23d335f2,1,,1,0xbafe01ff935c7305907c33bf824352ee5979b526,2038,Complex,dataset/defi/009_Unitroller_0x3d981921.sol,https://etherscan.io/address/0x3d9819210A31b4961b30EF54bE2aeD79B9C9Cd3B#code
DeFi,0x39AA39c021dfbaE8faC545936693aC917d5E7563,CErc20,saved,ok,v0.5.8+commit.23d335f2,1,,0,,2062,Complex,dataset/defi/010_CErc20_0x39AA39c0.sol,https://etherscan.io/address/0x39AA39c021dfbaE8faC545936693aC917d5E7563#code
NFT,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,CryptoPunksMarket,saved,ok,v0.4.11+commit.68ef5810,1,,0,,196,Medium,dataset/nft/011_CryptoPunksMarket_0xb47e3cd8.sol,https://etherscan.io/address/0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB#code
NFT,0x959e104E1a4dB6317fA58F8295F586e1A978c297,AdminUpgradeabilityProxy,saved,ok,v0.4.24+commit.e67f0147,0,,1,0x892a07905da18493feb4e9533900a32b01241964,238,Medium,dataset/nft/012_AdminUpgradeabilityProxy_0x959e104E.sol,https://etherscan.io/address/0x959e104E1a4dB6317fA58F8295F586e1A978c297#code
NFT,0x79986af15539de2db9A5086382daEdA917A9CF0C,Parcel,saved,ok,v0.4.24+commit.e67f0147,0,,0,,675,Complex,dataset/nft/013_Parcel_0x79986af1.sol,https://etherscan.io/address/0x79986af15539de2db9A5086382daEdA917A9CF0C#code
NFT,0xb7F7F6C52F2e2fdb1963Eab30438024864c313F6,WrappedPunk,saved,ok,v0.5.17+commit.d19bba13,1,None,0,,1299,Complex,dataset/nft/014_WrappedPunk_0xb7F7F6C5.sol,https://etherscan.io/address/0xb7F7F6C52F2e2fdb1963Eab30438024864c313F6#code
NFT,0xF87E31492Faf9A91B02Ee0dEAAd50d51d56D5d4d,LANDProxy,saved,ok,v0.4.18+commit.9cf6e910,0,,1,0x554bb6488ba955377359bed16b84ed0822679cdc,133,Medium,dataset/nft/015_LANDProxy_0xF87E3149.sol,https://etherscan.io/address/0xF87E31492Faf9A91B02Ee0dEAAd50d51d56D5d4d#code
NFT,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,SuperRareV2,saved,ok,v0.4.24+commit.e67f0147,1,None,0,,950,Complex,dataset/nft/016_SuperRareV2_0xb932a70A.sol,https://etherscan.io/address/0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0#code
NFT,0x2a187453064356c898cae034eaed119e1663acb8,DCLRegistrar,saved,ok,v0.5.15+commit.6a57276f,1,None,0,,1449,Complex,dataset/nft/017_DCLRegistrar_0x2a187453.sol,https://etherscan.io/address/0x2a187453064356c898cae034eaed119e1663acb8#code
NFT,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,KittyCore,saved,ok,v0.4.18+commit.9cf6e910,1,,0,,1008,Complex,dataset/nft/018_KittyCore_0x06012c8c.sol,https://etherscan.io/address/0x06012c8cf97BEaD5deAe237070F9587f8E7A266d#code
NFT,0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85,BaseRegistrarImplementation,saved,ok,v0.5.16+commit.9c3226ce,0,None,0,,613,Complex,dataset/nft/019_BaseRegistrarImplementation_0x57f1887a.sol,https://etherscan.io/address/0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85#code
NFT,0xf3e778f839934fc819cfa1040aabacecba01e049,AvastarTeleporter,saved,ok,v0.5.14+commit.1f1aaa4,1,None,0,,2055,Complex,dataset/nft/020_AvastarTeleporter_0xf3e778f8.sol,https://etherscan.io/address/0xf3e778f839934fc819cfa1040aabacecba01e049#code
Token,0xdAC17F958D2ee523a2206206994597C13D831ec7,TetherToken,saved,ok,v0.4.18+commit.9cf6e910,0,,0,,337,Medium,dataset/token/021_TetherToken_0xdAC17F95.sol,https://etherscan.io/address/0xdAC17F958D2ee523a2206206994597C13D831ec7#code
Token,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,saved,ok,v0.4.24+commit.e67f0147,1,,0,,539,Complex,dataset/token/022_WBTC_0x2260FAC5.sol,https://etherscan.io/address/0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599#code
Token,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,FiatTokenProxy,saved,ok,v0.4.24+commit.e67f0147,0,,1,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,267,Medium,dataset/token/023_FiatTokenProxy_0xA0b86991.sol,https://etherscan.io/address/0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48#code
