nama,domain,complexity,loc,compile_ok,redundant_sload,unoptimized_loop,string_vs_bytes32,public_vs_external,unchecked_arithmetic,dead_code,total_findings
Dai,DeFi,Medium,169,True,7,0,3,0,0,0,10
KyberNetworkProxy,DeFi,Medium,484,True,24,2,0,40,0,2,68
Spotter,DeFi,Medium,129,True,0,0,0,0,0,0,0
UniswapV2Factory,DeFi,Medium,414,True,17,0,2,1,0,0,20
UniswapV2Pair,DeFi,Medium,396,True,11,0,2,1,0,0,14
Vat,DeFi,Medium,238,True,24,0,0,0,0,0,24
CErc20,DeFi,Complex,2178,True,33,0,6,1,0,9,49
CErc20Delegator,DeFi,Complex,1901,True,0,0,2,1,0,3,6
CEther,DeFi,Complex,2138,True,32,0,7,1,0,9,49
InitializableAdminUpgradeabilityProxy,DeFi,Complex,1185,True,0,0,0,0,0,0,0
CryptoPunksMarket,NFT,Medium,212,True,20,0,4,11,0,0,35
AvastarTeleporter,NFT,Complex,2171,True,37,0,19,11,0,7,74
BaseRegistrarImplementation,NFT,Complex,664,True,10,0,0,10,0,3,23
DCLRegistrar,NFT,Complex,1570,True,26,0,23,34,0,7,90
KittyCore,NFT,Complex,1685,True,19,0,4,9,0,0,32
LANDProxy,NFT,Complex,1256,True,24,0,12,4,0,3,43
Meebits,NFT,Complex,567,True,21,0,3,3,0,0,27
Parcel,NFT,Complex,733,True,21,0,7,26,0,3,57
SuperRareV2,NFT,Complex,999,True,16,0,12,20,0,3,51
WrappedPunk,NFT,Complex,1376,True,14,0,10,22,0,8,54
BAToken,Token,Medium,146,True,11,0,3,10,0,0,24
LinkToken,Token,Medium,250,True,5,0,2,19,0,2,28
MANAToken,Token,Medium,222,True,8,0,2,19,0,2,31
TetherToken,Token,Medium,377,True,16,0,4,27,0,0,47
AdminUpgradeabilityProxy,Token,Complex,581,True,33,0,3,25,0,0,61
BalancerGovernanceToken,Token,Complex,1280,True,6,0,5,20,0,10,41
FiatTokenProxy,Token,Complex,2715,True,0,0,0,0,0,0,0
GraphToken,Token,Complex,832,True,9,0,2,12,0,4,27
OneInch,Token,Complex,964,True,9,0,2,16,0,5,32
WBTC,Token,Complex,564,True,13,0,4,31,0,4,52
Comp,Governance,Medium,249,True,9,0,6,3,0,0,18
DSToken,Governance,Medium,371,True,14,0,0,21,0,8,43
Governor,Governance,Medium,443,True,6,0,6,12,0,0,24
GovernorAlpha,Governance,Medium,252,True,3,0,6,8,0,0,17
GovernorBravoDelegate,Governance,Medium,465,True,0,0,3,2,0,0,5
NounsDAOProxy,Governance,Medium,336,True,0,0,3,0,0,0,3
Uni,Governance,Medium,493,True,14,0,11,3,0,0,28
YFI,Governance,Medium,191,True,6,0,6,15,0,5,32
AaveGovernanceV2,Governance,Complex,1234,True,4,0,2,4,0,3,13
MiniMeToken,Governance,Complex,516,True,11,0,9,12,0,0,32
Multicall,Utility,Simple,43,True,0,0,0,8,0,0,8
Multicall2,Utility,Simple,70,True,0,0,0,10,0,0,10
DSProxyFactory,Utility,Medium,183,True,6,0,0,5,0,0,11
ENSRegistryWithFallback,Utility,Medium,236,True,1,0,0,8,0,0,9
ERC1820Registry,Utility,Medium,194,True,1,0,1,0,0,0,2
GnosisSafeProxyFactory,Utility,Medium,152,True,0,0,0,0,0,0,0
MultiSigWallet,Utility,Medium,334,True,11,5,0,10,0,0,26
WyvernProxyRegistry,Utility,Medium,383,True,9,0,1,21,0,0,31
GnosisSafe,Utility,Complex,1008,True,0,0,0,2,0,0,2
UniswapV3Factory,Utility,Complex,2970,True,0,0,0,0,0,0,0
