nama,domain,complexity,loc,detector,count
Dai,DeFi,Medium,169,redundant_sload,7
Dai,DeFi,Medium,169,string_vs_bytes32,3
KyberNetworkProxy,DeFi,Medium,484,redundant_sload,24
KyberNetworkProxy,DeFi,Medium,484,unoptimized_loop,2
KyberNetworkProxy,DeFi,Medium,484,public_vs_external,40
KyberNetworkProxy,DeFi,Medium,484,dead_code,2
UniswapV2Factory,DeFi,Medium,414,redundant_sload,17
UniswapV2Factory,DeFi,Medium,414,string_vs_bytes32,2
UniswapV2Factory,DeFi,Medium,414,public_vs_external,1
UniswapV2Pair,DeFi,Medium,396,redundant_sload,11
UniswapV2Pair,DeFi,Medium,396,string_vs_bytes32,2
UniswapV2Pair,DeFi,Medium,396,public_vs_external,1
Vat,DeFi,Medium,238,redundant_sload,24
CErc20,DeFi,Complex,2178,redundant_sload,33
CErc20,DeFi,Complex,2178,string_vs_bytes32,6
CErc20,DeFi,Complex,2178,public_vs_external,1
CErc20,DeFi,Complex,2178,dead_code,9
CErc20Delegator,DeFi,Complex,1901,string_vs_bytes32,2
CErc20Delegator,DeFi,Complex,1901,public_vs_external,1
CErc20Delegator,DeFi,Complex,1901,dead_code,3
CEther,DeFi,Complex,2138,redundant_sload,32
CEther,DeFi,Complex,2138,string_vs_bytes32,7
CEther,DeFi,Complex,2138,public_vs_external,1
CEther,DeFi,Complex,2138,dead_code,9
CryptoPunksMarket,NFT,Medium,212,redundant_sload,20
CryptoPunksMarket,NFT,Medium,212,string_vs_bytes32,4
CryptoPunksMarket,NFT,Medium,212,public_vs_external,11
AvastarTeleporter,NFT,Complex,2171,redundant_sload,37
AvastarTeleporter,NFT,Complex,2171,string_vs_bytes32,19
AvastarTeleporter,NFT,Complex,2171,public_vs_external,11
AvastarTeleporter,NFT,Complex,2171,dead_code,7
BaseRegistrarImplementation,NFT,Complex,664,redundant_sload,10
BaseRegistrarImplementation,NFT,Complex,664,public_vs_external,10
BaseRegistrarImplementation,NFT,Complex,664,dead_code,3
DCLRegistrar,NFT,Complex,1570,redundant_sload,26
DCLRegistrar,NFT,Complex,1570,string_vs_bytes32,23
DCLRegistrar,NFT,Complex,1570,public_vs_external,34
DCLRegistrar,NFT,Complex,1570,dead_code,7
KittyCore,NFT,Complex,1685,redundant_sload,19
KittyCore,NFT,Complex,1685,string_vs_bytes32,4
KittyCore,NFT,Complex,1685,public_vs_external,9
LANDProxy,NFT,Complex,1256,redundant_sload,24
LANDProxy,NFT,Complex,1256,string_vs_bytes32,12
LANDProxy,NFT,Complex,1256,public_vs_external,4
LANDProxy,NFT,Complex,1256,dead_code,3
Meebits,NFT,Complex,567,redundant_sload,21
Meebits,NFT,Complex,567,string_vs_bytes32,3
Meebits,NFT,Complex,567,public_vs_external,3
Parcel,NFT,Complex,733,redundant_sload,21
Parcel,NFT,Complex,733,string_vs_bytes32,7
Parcel,NFT,Complex,733,public_vs_external,26
Parcel,NFT,Complex,733,dead_code,3
SuperRareV2,NFT,Complex,999,redundant_sload,16
SuperRareV2,NFT,Complex,999,string_vs_bytes32,12
SuperRareV2,NFT,Complex,999,public_vs_external,20
SuperRareV2,NFT,Complex,999,dead_code,3
WrappedPunk,NFT,Complex,1376,redundant_sload,14
WrappedPunk,NFT,Complex,1376,string_vs_bytes32,10
WrappedPunk,NFT,Complex,1376,public_vs_external,22
WrappedPunk,NFT,Complex,1376,dead_code,8
BAToken,Token,Medium,146,redundant_sload,11
BAToken,Token,Medium,146,string_vs_bytes32,3
BAToken,Token,Medium,146,public_vs_external,10
LinkToken,Token,Medium,250,redundant_sload,5
LinkToken,Token,Medium,250,string_vs_bytes32,2
LinkToken,Token,Medium,250,public_vs_external,19
LinkToken,Token,Medium,250,dead_code,2
MANAToken,Token,Medium,222,redundant_sload,8
MANAToken,Token,Medium,222,string_vs_bytes32,2
MANAToken,Token,Medium,222,public_vs_external,19
MANAToken,Token,Medium,222,dead_code,2
TetherToken,Token,Medium,377,redundant_sload,16
TetherToken,Token,Medium,377,string_vs_bytes32,4
TetherToken,Token,Medium,377,public_vs_external,27
AdminUpgradeabilityProxy,Token,Complex,581,redundant_sload,33
AdminUpgradeabilityProxy,Token,Complex,581,string_vs_bytes32,3
AdminUpgradeabilityProxy,Token,Complex,581,public_vs_external,25
BalancerGovernanceToken,Token,Complex,1280,redundant_sload,6
BalancerGovernanceToken,Token,Complex,1280,string_vs_bytes32,5
BalancerGovernanceToken,Token,Complex,1280,public_vs_external,20
